Pct	DelSNPs	Total	Hap	Aligned	Correct	Overall
2	1	2727	B	0.984232	1.000000	0.984232
2	2	186	B	0.973118	1.000000	0.973118
2	3	26	B	0.923077	1.000000	0.923077
2	4	3	B	0.666667	1.000000	0.666667
6	0	9997058	B	0.988016	0.944903	0.933579
6	1	2727	B	0.989732	1.000000	0.989732
6	2	186	B	0.989247	1.000000	0.989247
6	3	26	B	1.000000	1.000000	1.000000
6	4	3	B	0.666667	1.000000	0.666667
4	0	9997058	B	0.987768	0.944746	0.933190
4	1	2727	B	0.987165	1.000000	0.987165
4	2	186	B	0.989247	1.000000	0.989247
4	3	26	B	1.000000	1.000000	1.000000
4	4	3	B	0.666667	1.000000	0.666667
15	0	9997058	B	0.987981	0.944956	0.933598
15	1	2727	B	0.990466	1.000000	0.990466
15	2	186	B	0.989247	1.000000	0.989247
15	3	26	B	1.000000	1.000000	1.000000
15	4	3	B	0.666667	1.000000	0.666667
20	0	9997058	B	0.987913	0.944964	0.933542
20	1	2727	B	0.990466	1.000000	0.990466
20	2	186	B	0.989247	1.000000	0.989247
20	3	26	B	1.000000	1.000000	1.000000
20	4	3	B	0.666667	1.000000	0.666667
30	0	9997058	B	0.988197	0.945021	0.933867
30	1	2727	B	0.991566	1.000000	0.991566
30	2	186	B	0.994624	1.000000	0.994624
30	3	26	B	1.000000	1.000000	1.000000
30	4	3	B	0.666667	1.000000	0.666667
40	0	9997058	B	0.988116	0.944968	0.933738
40	1	2727	B	0.991566	1.000000	0.991566
40	2	186	B	0.989247	1.000000	0.989247
40	3	26	B	1.000000	1.000000	1.000000
40	4	3	B	0.666667	1.000000	0.666667
50	0	9997058	B	0.988001	0.944873	0.933535
50	1	2727	B	0.992299	1.000000	0.992299
50	2	186	B	0.989247	1.000000	0.989247
50	3	26	B	1.000000	1.000000	1.000000
50	4	3	B	0.666667	1.000000	0.666667
80	0	9997058	B	0.987669	0.944559	0.932911
80	1	2727	B	0.992299	1.000000	0.992299
80	2	186	B	0.989247	1.000000	0.989247
80	3	26	B	1.000000	1.000000	1.000000
80	4	3	B	0.666667	1.000000	0.666667
70	0	9997058	B	0.987794	0.944654	0.933123
70	1	2727	B	0.992299	1.000000	0.992299
70	2	186	B	0.989247	1.000000	0.989247
70	3	26	B	1.000000	1.000000	1.000000
70	4	3	B	0.666667	1.000000	0.666667
60	0	9997058	B	0.987930	0.944864	0.933459
60	1	2727	B	0.991933	1.000000	0.991933
60	2	186	B	0.989247	1.000000	0.989247
60	3	26	B	1.000000	1.000000	1.000000
60	4	3	B	0.666667	1.000000	0.666667
90	0	9997058	B	0.987519	0.944407	0.932620
90	1	2727	B	0.992299	1.000000	0.992299
90	2	186	B	0.989247	1.000000	0.989247
90	3	26	B	1.000000	1.000000	1.000000
90	4	3	B	0.666667	1.000000	0.666667
