Pct	DelSNPs	Total	Hap	Aligned	Correct	Overall
6	2	65	B	0.953846	1.000000	0.953846
6	3	15	B	0.800000	1.000000	0.800000
15	0	7622674	B	0.971421	0.995762	0.967304
15	1	1623	B	0.976587	0.998738	0.975354
15	2	65	B	0.953846	1.000000	0.953846
15	3	15	B	0.800000	1.000000	0.800000
30	0	7622674	B	0.971098	0.995682	0.966905
30	1	1623	B	0.975970	0.999369	0.975354
30	2	65	B	0.953846	1.000000	0.953846
30	3	15	B	0.800000	1.000000	0.800000
4	0	7622674	B	0.970773	0.995827	0.966722
4	1	1623	B	0.964880	0.998084	0.963031
4	2	65	B	0.907692	1.000000	0.907692
4	3	15	B	0.800000	1.000000	0.800000
40	0	7622674	B	0.970916	0.995628	0.966672
40	1	1623	B	0.975970	0.999369	0.975354
40	2	65	B	0.953846	1.000000	0.953846
40	3	15	B	0.800000	1.000000	0.800000
50	0	7622824	A	0.970695	0.995589	0.966413
50	1	1523	A	0.978989	0.999329	0.978332
50	2	75	A	1.000000	1.000000	1.000000
50	3	11	A	0.727273	1.000000	0.727273
60	0	7622824	A	0.970507	0.995555	0.966192
60	1	1523	A	0.978989	0.999329	0.978332
60	2	75	A	1.000000	1.000000	1.000000
60	3	11	A	0.727273	1.000000	0.727273
80	0	7622824	A	0.970190	0.995578	0.965899
80	1	1523	A	0.978989	0.999329	0.978332
80	2	75	A	1.000000	1.000000	1.000000
80	3	11	A	0.727273	1.000000	0.727273
70	0	7622824	A	0.970413	0.995531	0.966076
70	1	1523	A	0.978989	0.999329	0.978332
70	2	75	A	1.000000	1.000000	1.000000
70	3	11	A	0.727273	1.000000	0.727273
90	0	7622824	A	0.970074	0.995552	0.965760
90	1	1523	A	0.978989	0.999329	0.978332
90	2	75	A	0.986667	1.000000	0.986667
90	3	11	A	0.727273	1.000000	0.727273
100	0	7622824	A	0.969935	0.995553	0.965622
100	1	1523	A	0.979645	0.999330	0.978989
100	2	75	A	0.986667	1.000000	0.986667
100	3	11	A	0.727273	1.000000	0.727273
50	0	7622674	B	0.970701	0.995625	0.966454
50	1	1623	B	0.976587	0.999369	0.975970
50	2	65	B	0.938462	1.000000	0.938462
50	3	15	B	0.800000	1.000000	0.800000
60	0	7622674	B	0.970516	0.995586	0.966232
60	1	1623	B	0.975354	0.999368	0.974738
60	2	65	B	0.953846	1.000000	0.953846
60	3	15	B	0.800000	1.000000	0.800000
80	0	7622674	B	0.970205	0.995594	0.965931
80	1	1623	B	0.975354	0.999368	0.974738
80	2	65	B	0.953846	1.000000	0.953846
80	3	15	B	0.800000	1.000000	0.800000
100	0	7622674	B	0.969952	0.995561	0.965647
100	1	1623	B	0.975354	0.999368	0.974738
100	2	65	B	0.938462	1.000000	0.938462
100	3	15	B	0.800000	1.000000	0.800000
70	0	7622674	B	0.970421	0.995558	0.966110
70	1	1623	B	0.975354	0.999368	0.974738
70	2	65	B	0.953846	1.000000	0.953846
70	3	15	B	0.800000	1.000000	0.800000
90	0	7622674	B	0.970094	0.995563	0.965789
90	1	1623	B	0.975354	0.999368	0.974738
90	2	65	B	0.953846	1.000000	0.953846
90	3	15	B	0.800000	1.000000	0.800000
