Pct	DelSNPs	Total	Hap	Aligned	Correct	Overall
90	2	75	A	0.986667	1.000000	0.986667
90	3	11	A	0.727273	1.000000	0.727273
100	0	7622824	A	0.969935	0.995553	0.965622
100	1	1523	A	0.979645	0.999330	0.978989
100	2	75	A	0.986667	1.000000	0.986667
100	3	11	A	0.727273	1.000000	0.727273
15	0	7622674	B	0.971098	0.995806	0.967026
15	1	1623	B	0.975970	0.998737	0.974738
15	2	65	B	0.923077	1.000000	0.923077
15	3	15	B	0.800000	1.000000	0.800000
2	0	7622674	B	0.969744	0.995782	0.965653
2	1	1623	B	0.958102	0.998071	0.956254
2	2	65	B	0.892308	1.000000	0.892308
2	3	15	B	0.800000	1.000000	0.800000
10	0	7622674	B	0.971115	0.995807	0.967044
10	1	1623	B	0.975970	0.998737	0.974738
10	2	65	B	0.923077	1.000000	0.923077
10	3	15	B	0.800000	1.000000	0.800000
20	0	7622674	B	0.971058	0.995812	0.966991
20	1	1623	B	0.975970	0.998737	0.974738
20	2	65	B	0.923077	1.000000	0.923077
20	3	15	B	0.800000	1.000000	0.800000
4	0	7622674	B	0.970629	0.995799	0.966551
4	1	1623	B	0.969809	0.998094	0.967961
4	2	65	B	0.892308	1.000000	0.892308
4	3	15	B	0.800000	1.000000	0.800000
6	0	7622674	B	0.970977	0.995810	0.966908
6	1	1623	B	0.973506	0.998734	0.972274
6	2	65	B	0.923077	1.000000	0.923077
6	3	15	B	0.800000	1.000000	0.800000
8	0	7622674	B	0.971091	0.995810	0.967022
8	1	1623	B	0.975970	0.998737	0.974738
8	2	65	B	0.923077	1.000000	0.923077
8	3	15	B	0.800000	1.000000	0.800000
30	0	7622674	B	0.970958	0.995827	0.966907
30	1	1623	B	0.975970	0.998737	0.974738
30	2	65	B	0.923077	1.000000	0.923077
30	3	15	B	0.800000	1.000000	0.800000
40	0	7622674	B	0.970801	0.995859	0.966781
40	1	1623	B	0.975970	0.998737	0.974738
40	2	65	B	0.923077	1.000000	0.923077
40	3	15	B	0.800000	1.000000	0.800000
60	0	7622674	B	0.970703	0.995841	0.966666
60	1	1623	B	0.974738	0.999368	0.974122
60	2	65	B	0.923077	1.000000	0.923077
60	3	15	B	0.800000	1.000000	0.800000
50	0	7622674	B	0.970768	0.995824	0.966714
50	1	1623	B	0.975354	0.999368	0.974738
50	2	65	B	0.907692	1.000000	0.907692
50	3	15	B	0.800000	1.000000	0.800000
70	0	7622674	B	0.970540	0.995789	0.966454
70	1	1623	B	0.975354	0.999368	0.974738
70	2	65	B	0.938462	1.000000	0.938462
70	3	15	B	0.800000	1.000000	0.800000
80	0	7622674	B	0.970538	0.995790	0.966451
80	1	1623	B	0.975354	0.999368	0.974738
80	2	65	B	0.923077	1.000000	0.923077
80	3	15	B	0.800000	1.000000	0.800000
90	0	7622674	B	0.970398	0.995729	0.966253
90	1	1623	B	0.975970	0.999369	0.975354
90	2	65	B	0.938462	1.000000	0.938462
90	3	15	B	0.800000	1.000000	0.800000
100	0	7622674	B	0.969952	0.995561	0.965647
100	1	1623	B	0.975354	0.999368	0.974738
100	2	65	B	0.938462	1.000000	0.938462
100	3	15	B	0.800000	1.000000	0.800000
