Pct	DelSNPs	Total	Hap	Aligned	Correct	Overall
15	1	2727	B	0.993766	1.000000	0.993766
15	2	186	B	0.994624	1.000000	0.994624
15	3	26	B	1.000000	1.000000	1.000000
15	4	3	B	1.000000	1.000000	1.000000
6	0	9997058	B	0.988631	0.945069	0.934324
6	1	2727	B	0.990832	1.000000	0.990832
6	2	186	B	0.994624	1.000000	0.994624
6	3	26	B	1.000000	1.000000	1.000000
6	4	3	B	1.000000	1.000000	1.000000
4	0	9997058	B	0.988177	0.944921	0.933749
4	1	2727	B	0.988999	1.000000	0.988999
4	2	186	B	0.983871	1.000000	0.983871
4	3	26	B	1.000000	1.000000	1.000000
4	4	3	B	1.000000	1.000000	1.000000
50	0	9997058	B	0.987684	0.944481	0.932849
50	1	2727	B	0.991933	1.000000	0.991933
50	2	186	B	0.989247	1.000000	0.989247
50	3	26	B	1.000000	1.000000	1.000000
50	4	3	B	0.666667	1.000000	0.666667
60	0	9997058	B	0.987495	0.944348	0.932539
60	1	2727	B	0.992666	1.000000	0.992666
60	2	186	B	0.989247	1.000000	0.989247
60	3	26	B	1.000000	1.000000	1.000000
60	4	3	B	0.666667	1.000000	0.666667
40	0	9997058	B	0.987913	0.944640	0.933222
40	1	2727	B	0.992666	1.000000	0.992666
40	2	186	B	0.989247	1.000000	0.989247
40	3	26	B	1.000000	1.000000	1.000000
40	4	3	B	1.000000	1.000000	1.000000
20	0	9997058	B	0.988517	0.944979	0.934128
20	1	2727	B	0.993399	1.000000	0.993399
20	2	186	B	0.994624	1.000000	0.994624
20	3	26	B	1.000000	1.000000	1.000000
20	4	3	B	1.000000	1.000000	1.000000
30	0	9997058	B	0.988198	0.944803	0.933653
30	1	2727	B	0.993033	1.000000	0.993033
30	2	186	B	0.994624	1.000000	0.994624
30	3	26	B	1.000000	1.000000	1.000000
30	4	3	B	1.000000	1.000000	1.000000
80	0	9997058	B	0.987094	0.944152	0.931967
80	1	2727	B	0.992666	1.000000	0.992666
80	2	186	B	0.989247	1.000000	0.989247
80	3	26	B	1.000000	1.000000	1.000000
80	4	3	B	0.666667	1.000000	0.666667
90	0	9997058	B	0.986962	0.944086	0.931777
90	1	2727	B	0.992666	1.000000	0.992666
90	2	186	B	0.989247	1.000000	0.989247
90	3	26	B	1.000000	1.000000	1.000000
90	4	3	B	0.666667	1.000000	0.666667
